New Episode Started
State: D:20.2_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:20.2_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.1_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:20.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.3_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:20.4_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:20.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.5_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:20.6_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.5_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.6_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:20.7_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.7_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:20.8_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:20.7_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:20.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:20.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.8_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:20.9_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.8_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:20.9_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:20.8_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.7_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:20.8_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:20.7_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.00271
