New Episode Started
State: D:18.2_PD:False_G:False_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:18.2_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:18.2_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:18.2_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:18.2_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.009500001
State: D:18.3_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:18.3_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.009500001
State: D:18.4_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:18.5_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:18.5_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.038
State: D:18.6_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:18.6_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.009500001
State: D:18.7_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:18.7_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:18.7_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.038
State: D:18.8_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:18.9_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:19.0_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:19.0_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:19.1_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:19.2_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:19.3_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:19.4_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:19.5_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:19.5_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:19.6_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:19.7_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:19.8_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:19.9_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:20.0_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:20.1_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:20.1_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:20.2_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:20.3_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:20.4_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:20.4_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.038
State: D:20.5_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:20.6_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:20.6_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:20.7_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:20.8_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:20.9_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:21.0_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:21.0_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:21.1_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:21.2_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:21.3_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:21.3_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:21.4_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:21.5_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:21.6_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:21.6_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.038
State: D:21.6_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.0542
State: D:21.8_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:21.8_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:21.9_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:22.0_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:22.1_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:22.2_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Patrol, Reward: -0.1, New Q-value: -0.01
State: D:22.2_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:22.3_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:22.4_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
State: D:22.5_PD:False_G:True_W:False_W:False_F:True_S:True, Action: ShootLaser, Reward: -0.05, New Q-value: -0.005
State: D:22.6_PD:False_G:True_W:False_W:False_F:True_S:True, Action: Follow, Reward: -0.2, New Q-value: -0.02
