New Episode Started
State: D:18.1_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.1, New Q-value: -0.01
State: D:18.1_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.5, New Q-value: -0.05
State: D:18.0_G:True_W:False_F:False, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:17.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:18.0_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.5, New Q-value: -0.05
State: D:18.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:18.2_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.5, New Q-value: -0.05
State: D:18.3_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.1, New Q-value: -0.01
State: D:18.3_G:True_W:False_F:False, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:18.2_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.5, New Q-value: -0.095
State: D:18.3_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.5, New Q-value: -0.05
State: D:18.4_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.5, New Q-value: -0.05
State: D:18.5_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.5, New Q-value: -0.05
State: D:18.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:18.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.1, New Q-value: -0.019
State: D:18.7_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.1, New Q-value: -0.01
State: D:18.8_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.5, New Q-value: -0.05
State: D:18.7_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.1, New Q-value: -0.01
State: D:18.7_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.1, New Q-value: -0.019
State: D:18.5_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.1, New Q-value: -0.01
State: D:18.5_G:True_W:False_F:False, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:18.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:18.5_G:True_W:False_F:True, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:18.5_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.5, New Q-value: -0.095
State: D:18.6_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.1, New Q-value: -0.01
State: D:18.7_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.1, New Q-value: -0.0271
State: D:18.6_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.5, New Q-value: -0.05
State: D:18.5_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.5, New Q-value: -0.05
State: D:18.5_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.1, New Q-value: -0.019
State: D:18.4_G:True_W:False_F:False, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:18.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.1, New Q-value: -0.01
State: D:18.4_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.5, New Q-value: -0.095
State: D:18.5_G:True_W:False_F:True, Action: MoveRight, Reward: -0.1, New Q-value: -0.019
State: D:18.6_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.1, New Q-value: -0.019
